Наименование,Отрасль,Справка
Газпром,Нефтегаз,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.7mc7r87vi20m
Роснефть,Нефтегаз,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.8s19a7z8bsrd
Лукойл,Нефтегаз,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.5scubft2wvbc
Норникель,Тяжелая промышленность,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.zhd3rq7lvucf
ЭН+ груп,Тяжелая промышленность,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.tzcvf2ooxfxx
СУЭК,Тяжелая промышленность,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.f9va7nhxetdo
Российские сети,Электроэнергетика,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.57qexnsmb612
Интер РАО,Электроэнергетика,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.tsamewekynzl
Мосэнергосбыт,Электроэнергетика,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.uuln3vl1dqd
РусГидро,Электроэнергетика,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.wx77zuco91yv
Ростелеком,Телекоммуникации и связь,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.g5hw8vwl1yyu
Мегафон (B2C),Телекоммуникации и связь,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.vpgw4n5pq67i
Вымпелком (B2C),Телекоммуникации и связь,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.tnicjr2i7kuh
ПИК СЗ,Строительство,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.3q1xmfyes6q6
"ГК ""Ташир""",Строительство,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.b23d6o83w91k
ГК ФСК,Строительство,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.jzwwrowuu51a
Группа ЛСР,Строительство,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.d7nmj95wr4s4
Газпроммедиа,Медиа,https://docs.google.com/document/d/14JNneAJ8ryztMJOT91__-SyZEZzyQmZiiwz50mVXzK8/edit?pli=1#heading=h.wele4p9ov95g
ММК,Тяжелая промышленность,
Сургутнефтегаз,Нефтегаз,
Татнефть,Нефтегаз,
Транснефть,Нефтегаз,
Новатек,Нефтегаз,
Ямал СПГ,Нефтегаз,
Сахалин Энерджи,Нефтегаз,
Фортеинвест,Нефтегаз,
Ойл Технолоджис,Нефтегаз,
Русснефть,Нефтегаз,
Независимая нефтегазовая компания,Нефтегаз,
Славнефть,Нефтегаз,
Зарубежнефть,Нефтегаз,
Арктикгаз,Нефтегаз,
Сокар,Нефтегаз,
ТАИФ-НК,Нефтегаз,
Иркутская нефтяная компания,Нефтегаз,
Каспийский трубопроводный консорциум-Р,Нефтегаз,
Алгоритм топливный интегратор,Нефтегаз,
Сибинтек,Нефтегаз,
Газпром Автоматизация,Нефтегаз,
Газпром Информ,Нефтегаз,
Газпромнефть – Цифровые решения,Нефтегаз,
Лукойл-Технологии,Нефтегаз,
ЕВРАЗ,Тяжелая промышленность,
НЛМК,Тяжелая промышленность,
УГМК,Тяжелая промышленность,
Северсталь,Тяжелая промышленность,
Металлоинвест,Тяжелая промышленность,
Полюс,Тяжелая промышленность,
Мечел,Тяжелая промышленность,
ТМК,Тяжелая промышленность,
Алроса,Тяжелая промышленность,
Полиметалл,Тяжелая промышленность,
ОМК,Тяжелая промышленность,
ЧТПЗ,Тяжелая промышленность,
Nordgold,Тяжелая промышленность,
Металлсервис,Тяжелая промышленность,
Сибирский антрацит,Тяжелая промышленность,
Норникель Спутник,Тяжелая промышленность,
Росатом,Электроэнергетика,
Т Плюс,Электроэнергетика,
"ГК ""ТНС энерго""",Электроэнергетика,
Русэнергосбыт,Электроэнергетика,
Евросибэнерго,Электроэнергетика,
Новосибирскэнергосбыт,Электроэнергетика,
Гринатом,Электроэнергетика,
Россети Цифра,Электроэнергетика,
Ростех,Машиностроение,
Росооборонэкспорт,Машиностроение,
ОАК,Машиностроение,
ОСК,Машиностроение,
Трансмашхолдинг,Машиностроение,
ОДК,Машиностроение,
КамАЗ,Машиностроение,
АвтоВАЗ,Машиностроение,
КТРВ,Машиностроение,
Объединенная приборостроительная корпорация,Машиностроение,
Вертолеты России,Машиностроение,
Группа ГАЗ,Машиностроение,
ЛокоТех,Машиностроение,
Силовые машины,Машиностроение,
Сибур,Химическая промышленность,
Еврохим,Химическая промышленность,
ФосАгро,Химическая промышленность,
Нижнекамскнефтехим,Химическая промышленность,
Уралхим,Химическая промышленность,
Уралкалий,Химическая промышленность,
Акрон,Химическая промышленность,
ДВМП,Транспорт,
Содружество,Агропром,
Русагро,Агропром,
КДВ Групп,Агропром,
"ГК ""Эфко""",Агропром,
Мираторг,Агропром,
"Группа ""Черкизово""",Агропром,
"ТД ""РИФ""",Агропром,
Астон,Агропром,
Сбербанк,FSI,
ВТБ,FSI,
Газпромбанк,FSI,
Альфа-банк,FSI,
МКБ,FSI,
Россельхозбанк,FSI,
ПСБ,FSI,
Вэб.рф,FSI,
Совкомбанк,FSI,
Открытие,FSI,
Дом.рф,FSI,
Т-банк,FSI,
Росбанк,FSI,
Райффайзенбанк,FSI,
Россия,FSI,
Юникредит банк,FSI,
