Наименование,Ссылка,Логотип,"Выручка 2021, млн ₽","Выручка 2022, млн ₽","Выручка 2023, млн ₽","CAGR, 2021-2023, %","Чистая прибыль (убыток) 2023, млн ₽",Целевая аудитория,Число сотрудников,R&D команда,Штаб-квартира,Год основания,Число клиентов?,Компьютерное зрение,GenAI,Речевая аналитика,Чат-боты и голосовые ассистенты,RPA и автоматизация бизнес-процессов,Синтез и распознавание речи,Ритейл,FSI,Электроэнергетика,Нефтегаз,Тяжелая промышленность,Химическая промышленность,Госсектор,Машиностроение,Транспорт,Агропром,Телекоммуникации и связь,Строительство,FMCG,Здравоохранение,Образование,Онлайн-сервисы,Медиа
MTS AI,https://mts.ai/,https://mts.ai/wp-content/uploads/en-white.svg,202,753,1810,"199,34%",-748,,,,Москва,2019,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
ЦРТ,https://www.speechpro.ru/,https://www.speechpro.ru/static/img/favicon.ico,-,4056,-,,,b2b,650,80,Санкт-Петербург,1990,,,,1,1,,1,1,1,1,1,1,1,1,,,,1,,,1,1,,
Naumen,https://www.naumen.ru/,https://softline.ru/upload/iblock/3e5/me1i57tm73j91y5284n5t8hv36e137e9/Logo_naumen.png,2649,3626,5277,"41,14%",900,b2b,766,,Екатеринбург,2001,,, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1
Ntechlab,https://ntechlab.ru/,https://ntechlab.ru/wp-content/uploads/sites/3/2023/04/cropped-512h512-270x270.png,1010,1154,708,"-16,27%",-129,b2b,203,,Москва,2015,,1,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,,
Trassir,https://trassir.ru/,https://trassir.ru/local/templates/trassir.ru/images/logo.svg,,,,,,,,,,,,1,,,,,,1,,1,1,1,1,,1,1,1,,1,,,1,,
Ivideon,https://ru.ivideon.com/,https://bx-static.ivideon.com/local/assets/images/exported/bf776849d2d6cd263d145201f61a0b27.svg,624,688,722,"7,57%",104,,186,,Москва,2010,,1,,,,,,1,1,,,,,,,,,,1,,,,,
Нетрис (Ростелеком),https://www.netris.ru/,https://www.netris.ru/img/logo.svg,1027,1860,1385,"16,13%",-58,,203,,Москва,2006,,1,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,
EORA,https://eora.ru/,https://static.tildacdn.com/tild3365-3738-4133-b633-626266643532/favicon_eora.svg,"12,7","22,3",11,"-6,93%","0,8",,5,,Иннополис,2018,40,1,1,,1,,,1,,,,,,,,,,,,,,,1,
Just AI,https://just-ai.com/,https://just-ai.com/wp-content/themes/justai_ru/img/just-ai-logo-dark.svg,382,609,599,"25,22%",12,,153,,Санкт-Петербург,2017,,,1,,1,,,1,1,,,,,,,,,,,,,,1,
Rubbles,https://rubbles.ru/,https://rubbles.ru/uploads/attachments/ckwxdj0a600ng0ipgzj4psvce-classic.svg,260,383,460,"33,01%",5,,137,,Москва,2013,,,1,,,,,1,1,,1,1,,,,,,1,,,,,,
AutoFaq,https://autofaq.ai/,https://static.tildacdn.com/tild3765-6139-4337-a238-316137653965/logo-autofaq.svg,51,82,102,"41,42%",5,,18,,МО,2016,,,,,,,,1,1,1,1,1,1,1,1,,,1,,,,1,,
3iTech,https://3itech.ru/,https://static.tildacdn.com/tild3464-3939-4862-b339-663734376263/3iTech_Znak_Color_15.png,168,219,214,"12,86%",50,,50,,Москва,2006,,,,1,1,,1,1,1,,,,,1,,,,1,,,1,1,1,1
Mango,https://www.mango-office.ru/,https://www.mango-office.ru/design_kit/site/blocks/header/img/logo.svg,3972,4456,5060,"12,87%",1117,,570,,Москва,2003,,,,1,,,,,,,,,,,,,,,,,,,,
Speech Analytics,https://speechanalytics.ru/,https://speechanalytics.ru/img/logo.svg,29,28,34,"8,28%",6,,7,,МО,2017,,,,1,,,,1,1,1,,,,,,,,1,,,,,1,
BSS,https://bssys.com/,https://bssys.com/img/logo-2023.svg,2271,2460,2751,"10,06%",735,,512,,Москва,2008,,,,1,1,,,1,1,1,,,,1,,,,1,,,1,,,
Twin24.ai,http://twin24.ai/,https://twin24.ai/wp-content/uploads/2022/11/logo.svg,129,323,428,"82,15%",47,,,,Москва,2016,,,,,1,,,1,1,1,,,,,,1,,1,1,,1,1,1,
Vocamate,https://vocamate.ru/,https://vocamate.ru/assets/54b3d899/images/header/vocamate_compact.svg,71,50,94,"15,06%",24,,37,,Ростов-на-Дону,2005,,,,,1,1,,1,1,,,,,1,,1,,,,,1,1,1,
Наносемантика,https://nanosemantics.ai/,https://static.cnews.ru/img/book/2023/09/25/nanosemantika_nanosemantika.jpg,138,157,254,"35,67%",23,,92,,Москва,2012,,,,,1,,1,,,,,,,,,,,,,,,,,
Neuro.net,http://neuro.net/,https://krasnodar.hh.ru/employer-logo/5689105.png,401,379,330,"-9,28%","10,6",,103,,Нижний Новгород,2015,,,,,1,,,1,1,,,,,1,,1,,1,,,,,1,
Sber SaluteSpeech,https://developers.sber.ru/portal/products/smartspeech,https://developers.sber.ru/favicon/apple-touch-icon.png,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yandex SpeechKit,https://yandex.cloud/ru/services/speechkit,https://storage.yandexcloud.net/cloud-www-assets/region-assets/ru/light/desktop/logo.svg,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Т-Банк VoiceKit,https://www.tbank.ru/software/voicekit/,https://cdn.tbank.ru/static/pfa-multimedia/images/ae288629-59d7-4eb6-b074-8bb0549a43b6.svg,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Yandex SpeechSense,https://yandex.cloud/ru/services/speechsense,https://storage.yandexcloud.net/cloud-www-assets/region-assets/ru/light/desktop/logo.svg,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Yandex Foundation Models,https://yandex.cloud/ru/services/foundation-models,https://storage.yandexcloud.net/cloud-www-assets/region-assets/ru/light/desktop/logo.svg,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
