Компания А,Компания Б,Название,Ссылка
Мосэнергосбыт,ЦРТ,09.2023 Голосовые виртуальные ассистенты,https://www.cnews.ru/news/line/2023-09-29_mosenergosbyt_uluchshaet
Мосэнергосбыт,Naumen,09.2023 Чат-бот и голосовой помощник,https://www.cnews.ru/news/line/2023-09-05_v_mosenergosbyte_60_dialogov
Российские сети,Sber GigaChat,06.2024 Умная база знаний,https://gov.cnews.ru/news/line/2024-06-07_rosseti_i_sberbank_nauchat
РусГидро,Yandex SpeechKit,05.2024 Голосовой помощник в КЦ,https://krsk-sbit.ru/press/news/11496/
Ростелеком,ЦРТ,04.2023 Речевая аналитика,https://www.speechpro.ru/media/news/rostelekom-masshtabiruet-rechevuyu-analitiku-gruppy-crt-dlya-uluchsheniya-klientskogo-opyta
Вымпелком (B2C),ЦРТ,02.2024 Речевая аналитика,https://www.speechpro.ru/media/news/bilajn-uluchshaet-servisy-obsluzhivaniya-klientov-s-pomoshyu-rechevoj-analitiki-gruppy-crt
ПИК СЗ,Ivideon,Видеомониторинг строительства,https://ru.ivideon.com/
ПИК СЗ,BSS,03.2024 Речевая аналитика,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%9F%D0%98%D0%9A-%D0%9A%D0%BE%D0%BC%D1%84%D0%BE%D1%80%D1%82_%28BSS_Digital2Speech%29
ММК,Naumen,01.2023 Naumen Erudite,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%9C%D0%B0%D0%B3%D0%BD%D0%B8%D1%82%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BC%D0%B5%D1%82%D0%B0%D0%BB%D0%BB%D1%83%D1%80%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D0%BE%D0%BC%D0%B1%D0%B8%D0%BD%D0%B0%D1%82_%28%D0%9C%D0%9C%D0%9A%29_%28Naumen_Erudite%29
Газпромнефть – Цифровые решения,Naumen,06.2023 Naumen Enterprise search,https://www.tadviser.ru/index.php/%D0%9F%D1%80%D0%BE%D0%B5%D0%BA%D1%82:%D0%93%D0%B0%D0%B7%D0%BF%D1%80%D0%BE%D0%BC_%D0%BD%D0%B5%D1%84%D1%82%D1%8C_%28Naumen_Enterprise_Search%29
